"","cowcode","year","expend_security_EXP","expenddefence_EXP","exp_public_order_EXP","wagessalaries_EXP","pensions_EXP","total_welfare_EXP","education_EXP","health_EXP","social_protection_EXP","housing_EXP","owelfarespend_EXP"
"97",41,1952,0.181994825601578,NA,NA,NA,NA,0.17487046122551,NA,NA,NA,NA,0.17487046122551
"98",41,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",41,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",41,1955,0.147614762187004,NA,NA,NA,NA,0.157515749335289,NA,NA,NA,NA,0.157515749335289
"101",41,1956,0.146420821547508,0.146420821547508,NA,0.353579163551331,NA,NA,NA,NA,NA,NA,NA
"102",41,1957,0.204695522785187,0.204695522785187,NA,0.479090243577957,NA,NA,NA,NA,NA,NA,NA
"103",41,1958,0.199095025658607,0.199095025658607,NA,0.440853267908096,NA,NA,NA,NA,NA,NA,NA
"104",41,1959,0.240660920739174,0.240660920739174,NA,0.482758611440659,NA,NA,NA,NA,NA,NA,NA
"105",41,1960,0.288758277893066,NA,NA,0.468772947788239,NA,NA,NA,NA,NA,NA,NA
"106",41,1961,0.277256309986115,NA,NA,0.454873651266098,NA,NA,NA,NA,NA,NA,NA
"107",41,1962,0.257493197917938,NA,NA,0.434604912996292,NA,NA,NA,NA,NA,NA,NA
"108",41,1963,NA,NA,NA,0.668323874473572,NA,NA,NA,NA,NA,NA,NA
"109",41,1964,NA,NA,NA,0.712278127670288,NA,NA,NA,NA,NA,NA,NA
"110",41,1965,NA,NA,NA,0.556327164173126,NA,NA,NA,NA,NA,NA,NA
"111",41,1966,NA,NA,NA,0.576158940792084,NA,NA,NA,NA,NA,NA,NA
"112",41,1967,NA,NA,NA,0.531899631023407,NA,NA,NA,NA,NA,NA,NA
"113",41,1968,NA,NA,NA,0.548286616802216,NA,NA,NA,NA,NA,NA,NA
"114",41,1969,NA,NA,NA,0.594427227973938,NA,NA,NA,NA,NA,NA,NA
"115",41,1970,NA,NA,NA,0.572438180446625,NA,NA,NA,NA,NA,NA,NA
"116",41,1971,NA,NA,NA,0.567666888237,NA,NA,NA,NA,NA,NA,NA
"117",41,1972,NA,NA,NA,0.590774714946747,NA,NA,NA,NA,NA,NA,NA
"118",41,1973,NA,NA,NA,0.581369876861572,NA,NA,NA,NA,NA,NA,NA
"119",41,1974,NA,NA,NA,0.609898865222931,NA,NA,NA,NA,NA,NA,NA
"120",41,1975,NA,NA,NA,0.560953259468079,NA,NA,NA,NA,NA,NA,NA
"121",41,1976,NA,NA,NA,0.527361154556274,NA,NA,NA,NA,NA,NA,NA
"122",41,1977,NA,NA,NA,0.526257812976837,NA,NA,NA,NA,NA,NA,NA
"123",41,1978,NA,NA,NA,0.552137792110443,NA,NA,NA,NA,NA,NA,NA
"124",41,1979,NA,NA,NA,0.433245718479156,NA,NA,NA,NA,NA,NA,NA
"125",41,1980,NA,NA,NA,0.286023736000061,NA,NA,NA,NA,NA,NA,NA
"126",41,1981,0.0924433022737503,NA,NA,0.311569809913635,NA,0.137358263134956,0.0686126872897148,0.0540751256048679,0.0146704465150833,NA,NA
"127",41,1982,0.0975523144006729,NA,NA,0.383950859308243,NA,0.186590522527695,0.0824150517582893,0.0894893482327461,0.0146861197426915,NA,NA
"128",41,1983,0.103742457926273,NA,NA,0.409557342529297,NA,0.1832495033741,0.0878470838069916,0.0820020139217377,0.0134004028514028,NA,NA
"129",41,1984,0.106316395103931,NA,NA,0.40475994348526,NA,0.164621591567993,0.0769167393445969,0.0741167739033699,0.0135880755260587,NA,NA
"130",41,1985,0.112258896231651,NA,NA,0.430957943201065,NA,0.165765479207039,0.0798966959118843,0.0722298473119736,0.0136389313265681,NA,NA
"131",41,1986,0.107475273311138,NA,NA,0.407940655946732,NA,0.163467139005661,0.0807155296206474,0.0711169317364693,0.0116346711292863,NA,NA
"132",41,1987,0.13910286128521,NA,NA,0.528319001197815,NA,0.25698533654213,0.129210084676743,0.108291797339916,0.0194834619760513,NA,NA
"133",41,1988,0.153059586882591,NA,NA,0.62110561132431,NA,0.285828411579132,0.146988332271576,0.122543536126614,0.0162965338677168,NA,NA
"134",41,1989,0.168977990746498,NA,NA,0.609210133552551,NA,0.267033457756042,0.141166716814041,0.106949053704739,0.0189176965504885,NA,NA
"135",41,1990,NA,NA,NA,0.612697958946228,NA,NA,NA,NA,NA,NA,NA
"136",41,1991,NA,NA,NA,0.593895137310028,NA,NA,NA,NA,NA,NA,NA
"137",41,1992,NA,NA,NA,0.64755243062973,NA,NA,NA,NA,NA,NA,NA
"138",41,1993,NA,NA,NA,0.57201224565506,NA,NA,NA,NA,NA,NA,NA
"139",41,1994,NA,NA,NA,0.645038187503815,NA,NA,NA,NA,NA,NA,NA
"140",41,1995,NA,NA,NA,0.41391134262085,NA,NA,NA,NA,NA,NA,NA
"141",41,1996,NA,NA,NA,0.452432662248611,NA,NA,NA,NA,NA,NA,NA
"142",41,1997,NA,NA,NA,0.529954850673676,NA,NA,NA,NA,NA,NA,NA
"143",41,1998,NA,NA,NA,0.477199524641037,NA,NA,NA,NA,NA,NA,NA
"144",41,1999,NA,NA,NA,0.428592354059219,NA,NA,NA,NA,NA,NA,NA
"145",41,2000,NA,NA,NA,0.41312101483345,NA,NA,NA,NA,NA,NA,NA
"146",41,2001,NA,NA,NA,0.38806140422821,NA,NA,NA,NA,NA,NA,NA
"147",41,2002,NA,NA,NA,0.323059797286987,NA,NA,NA,NA,NA,NA,NA
"148",41,2003,NA,NA,NA,0.256032884120941,NA,NA,NA,NA,NA,NA,NA
"149",41,2004,NA,NA,NA,0.257939487695694,NA,NA,NA,NA,NA,NA,NA
"150",41,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",41,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",42,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",42,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",42,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",42,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",42,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",42,1951,NA,NA,NA,0.282184660434723,NA,NA,NA,NA,NA,NA,NA
"158",42,1952,NA,NA,NA,0.22509577870369,NA,NA,NA,NA,NA,NA,NA
"159",42,1953,NA,NA,NA,0.26695841550827,NA,NA,NA,NA,NA,NA,NA
"160",42,1954,NA,NA,NA,0.235403150320053,NA,NA,NA,NA,NA,NA,NA
"161",42,1955,NA,NA,NA,0.221698120236397,NA,NA,NA,NA,NA,NA,NA
"162",42,1956,NA,NA,NA,0.217000693082809,NA,NA,NA,NA,NA,NA,NA
"163",42,1957,NA,NA,NA,0.22795557975769,NA,NA,NA,NA,NA,NA,NA
"164",42,1958,NA,NA,NA,0.249388754367828,NA,NA,NA,NA,NA,NA,NA
"165",42,1959,NA,NA,NA,0.31408628821373,NA,NA,NA,NA,NA,NA,NA
"166",42,1960,NA,NA,NA,0.333333343267441,NA,NA,NA,NA,NA,NA,NA
"167",42,1961,NA,NA,NA,0.362454861402512,NA,NA,NA,NA,NA,NA,NA
"168",42,1962,0.324926674365997,0.194134891033173,0.130791783332825,0.381231665611267,NA,0.146041050553322,0.0774193555116653,NA,NA,NA,0.0686217024922371
"169",42,1963,0.34178552031517,0.179609090089798,0.162176445126534,0.477548867464066,NA,0.162176445126534,0.0940306410193443,NA,NA,NA,0.0681457966566086
"170",42,1964,0.329090058803558,0.174446016550064,0.154644042253494,0.532767534255981,NA,0.180103719234467,0.11598302423954,NA,NA,NA,0.0641206949949265
"171",42,1965,NA,NA,NA,0.407262027263641,NA,NA,NA,NA,NA,NA,NA
"172",42,1966,NA,NA,NA,0.538706243038177,NA,NA,NA,NA,NA,NA,NA
"173",42,1967,NA,NA,NA,0.500771999359131,NA,NA,NA,NA,NA,NA,NA
"174",42,1968,NA,NA,NA,0.474434614181519,NA,NA,NA,NA,NA,NA,NA
