"","cowcode","year","expend_security_EXP","expenddefence_EXP","exp_public_order_EXP","wagessalaries_EXP","total_welfare_EXP","education_EXP","health_EXP","social_protection_EXP","housing_EXP","owelfarespend_EXP"
"6349",781,2001,0.128670036792755,-0.00501030885860923,0.128670036792755,0.22334398329258,0.411489993333817,0.177054360508919,0.103293158113956,0.0342364609241486,0.069102231567124,0.0969060137867928
"6350",781,2002,0.11328336596489,-0.00217833394896777,0.11328336596489,0.231254979968071,0.488853454589844,0.203093603253365,0.10103651881218,0.0316058062016964,0.148303254917405,0.153117522597313
"6351",781,2003,0.125425830483437,-0.00916761327508267,0.125425830483437,0.23578929901123,0.469495207071304,0.203721955418587,0.102283284068108,0.0397815257310867,0.106792110332586,0.123708434402943
"6352",781,2004,0.13185678422451,-0.00511930126390581,0.13185678422451,0.268952935934067,0.46548119187355,0.199809476733208,0.113069251179695,0.0466248579323292,0.0846006861174087,0.105977617204189
"6353",781,2005,0.116788446903229,0.0632510334253311,0.0535374172031879,0.406915545463562,0.516604900360107,0.147106692194939,0.091179832816124,0.0857949256896973,0.173968340262614,0.192523464560509
"6354",781,2006,0.0926453396677971,0.0471564903855324,0.0454888492822647,0.458735018968582,0.566462159156799,0.136588275432587,0.0800345689058304,0.0385139733552933,0.256042664257754,0.311325341463089
"6355",790,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6356",790,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6357",790,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6358",790,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6359",790,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6360",790,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6361",790,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6362",790,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6363",790,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6364",790,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6365",790,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6366",790,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6367",790,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6368",790,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6369",790,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6370",790,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6371",790,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6372",790,1963,0.16871865093708,0.112631097435951,0.0560875497758389,0.181230333001689,0.052895575761795,0.029183765873313,0.00866393093019724,-0.01666355463763,0.0481402858721351,0.0150478798896074
"6373",790,1964,0.154440149664879,0.104247100651264,0.0501930490136147,0.18932253659748,0.0463320463895798,0.0270270276814699,0.0115830115973949,-0.0105290522916848,0.0216884388461242,0.0077220075763762
"6374",790,1965,0.117142856121063,0.0799999982118607,0.0371428579092026,0.156968541887253,0.0399999991059303,0.0228571426123381,0.00857142824679613,0.00079447616741813,0.0329427860567237,0.00857142824679613
"6375",790,1966,0.1144859790802,0.0724299028515816,0.0420560762286186,0.289873236402882,0.0467289723455906,0.0233644861727953,0.0116822430863976,0.0149264142877774,-0.00825786310381728,0.0116822430863976
"6376",790,1967,0.138636365532875,0.0909090936183929,0.0477272719144821,0.163498844061365,0.0522727258503437,0.0295454543083906,0.0113636367022991,-0.000488330851841134,0.0165386087787594,0.0113636367022991
"6377",790,1968,0.147186145186424,0.095238097012043,0.0519480518996716,0.141551493280803,0.126839831471443,0.0709956735372543,0.0504329018294811,0.0176878517757484,-0.00192210253075799,0.00541125563904643
"6378",790,1969,0.135940402746201,0.0875232741236687,0.0484171323478222,0.323504983731843,0.121973931789398,0.0698323994874954,0.0452513955533504,-0.00958500506630193,0.00688016939360386,0.0068901302292943
"6379",790,1970,0.115497075021267,0.0730994120240211,0.0423976592719555,0.326926961442756,0.121198832988739,0.0616959072649479,0.052339181303978,0.0148602360885769,0.00559429246751019,0.00716374255716801
"6380",790,1971,0.127989485859871,0.0749014467000961,0.0530880428850651,0.246912430939761,0.125624179840088,0.0679369270801544,0.0445466488599777,0.00942932398847225,0.0203766806449223,0.0131406048312783
"6381",790,1972,0.118815250694752,0.0717203840613365,0.0470948703587055,0.182720951088183,0.130503863096237,0.0716068968176842,0.0469813905656338,0.0066046147403837,0.0254977988078265,0.0119155701249838
"6382",790,1973,0.117840282618999,0.0703141018748283,0.0475261770188808,0.283391031187927,0.157462537288666,0.0923834964632988,0.0485526584088802,-0.0135357495859006,0.0294141044157342,0.0165263805538416
"6383",790,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6384",790,1975,0.113715276122093,0.0648370757699013,0.0488782040774822,0.187627540220955,0.0695779919624329,0.0406650640070438,0.0188301280140877,-0.0148412803876842,0.0146704415897273,0.0100827990099788
"6385",790,1976,0.116279073059559,0.0713530629873276,0.0449260026216507,0.0716675179118317,0.065539114177227,0.0406976751983166,0.0174418613314629,0.0127990475691598,0.00497604893557819,0.0073995771817863
"6386",790,1977,0.11419615149498,0.0725481435656548,0.0416480079293251,0.209410384749241,0.0523958802223206,0.0304523054510355,0.0143304970115423,0.003283762940433,0.0199758857912335,0.00761307636275887
"6387",790,1978,0.102173082530499,0.0640487968921661,0.0381242856383324,0.175390521219291,0.0491803288459778,0.0263057574629784,0.0156309567391872,-0.00413943335960588,0.0157225898849747,0.00724361417815089
"6388",790,1979,0.102330297231674,0.0648429617285728,0.0374873355031013,0.112759170840196,0.0513340085744858,0.0273556225001812,0.0175616350024939,-0.00346642727744011,-0.0152672834637156,0.00641675107181072
"6389",790,1980,0.108534045517445,0.0663098394870758,0.0422242060303688,0.234387680752135,0.0475765690207481,0.0243829917162657,0.0172465052455664,0.0175741100895308,-0.00644954772428669,0.00594707112759352
"6390",790,1981,0.109887361526489,0.0648310407996178,0.0450563207268715,0.205499099409155,0.0460575707256794,0.0247809756547213,0.016270337626338,0.00894806450654744,0.00489937841388139,0.00500625791028142
"6391",790,1982,0.0931428596377373,0.0539047606289387,0.0392380952835083,0.0652601283883573,0.0407619029283524,0.0203809514641762,0.0154285710304976,0.000691658894786638,0.00216463632825067,0.00495238089933991
"6392",790,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6393",790,1984,0.103837162256241,0.0624398291110992,0.0413973331451416,0.312255171061086,0.0398844741284847,0.0188419744372368,0.0162288546562195,0.00871290894077326,-0.0196092377573139,0.00481364317238331
